,vulnerable,infected,symptomatic,positive,recovered,deceased
284,0.49632125,8.75e-06,2.375e-05,1.5e-05,0.49449375,0.0091375
281,0.4963175,1.125e-05,2e-05,1.625e-05,0.49449625,0.00913875
280,0.496315,1e-05,2.125e-05,1.5e-05,0.4945,0.00913875
283,0.49631375,8.75e-06,1.875e-05,1.5e-05,0.49450375,0.00914
288,0.4963125,8.75e-06,1.5e-05,1.625e-05,0.4945075,0.00914
282,0.49631,8.75e-06,1.375e-05,1.625e-05,0.49451125,0.00914
289,0.49630875,8.75e-06,1.375e-05,1.625e-05,0.4945125,0.00914
285,0.4963075,8.75e-06,1.25e-05,1.75e-05,0.49451375,0.00914
279,0.496305,1.125e-05,1.25e-05,1.75e-05,0.49451375,0.00914
287,0.4963025,8.75e-06,1.5e-05,1.875e-05,0.494515,0.00914
295,0.99931375,0.00068375,1.25e-06,0.0,1.25e-06,0.0
296,0.99863125,0.001185,8.625e-05,2.25e-05,7.5e-05,0.0
298,0.99808625,0.00148125,0.0002,5.875e-05,0.00017375,0.0
291,0.9975225,0.00168875,0.00035875,0.0001025,0.00032625,1.25e-06
294,0.9967725,0.00204875,0.00050375,0.00016,0.00051375,1.25e-06
293,0.995645,0.002655,0.00069375,0.00025375,0.00074875,3.75e-06
292,0.99375,0.00391375,0.00095125,0.00034375,0.00103625,5e-06
297,0.99067,0.00596875,0.00133375,0.0005,0.00151875,8.75e-06
300,0.986135,0.00903125,0.00193375,0.00070375,0.00217875,1.75e-05
312,0.9795825,0.01332125,0.00281625,0.001045,0.0032,3.5e-05
299,0.97141625,0.01837875,0.00397,0.001515,0.00467125,4.875e-05
313,0.9621625,0.0234075,0.005595,0.002115,0.00664875,7.125e-05
306,0.9525775,0.027905,0.00753,0.00281375,0.009075,9.875e-05
301,0.94253125,0.03193,0.009705,0.00374125,0.01196375,0.00012875
309,0.93260125,0.035225,0.0117875,0.00478375,0.0154325,0.00017
307,0.92302125,0.03760875,0.0139175,0.00585375,0.019375,0.00022375
311,0.9137475,0.03919,0.01607,0.006985,0.02373375,0.00027375
305,0.90500625,0.03989125,0.01827625,0.0082425,0.0282625,0.00032125
304,0.896475,0.04048875,0.02011125,0.0094175,0.0331325,0.000375
302,0.88799,0.0408125,0.02193625,0.010675,0.0381425,0.00044375
310,0.8797825,0.04084375,0.023465,0.0118725,0.04353125,0.000505
303,0.87173,0.04074125,0.02482125,0.0130625,0.04906,0.000585
308,0.8639475,0.04033625,0.02611625,0.01422375,0.05471125,0.000665
319,0.85624875,0.04017625,0.0270925,0.0152875,0.0604175,0.0007775
324,0.8487475,0.03987375,0.02789625,0.0162875,0.06634125,0.00085375
325,0.8416725,0.0389575,0.02865625,0.01726875,0.072485,0.00096
318,0.83447625,0.0385125,0.02922125,0.01819125,0.07853875,0.00106
329,0.8278475,0.037455,0.02972625,0.01920625,0.0846175,0.0011475
328,0.82166125,0.0363725,0.03004875,0.02000375,0.09065875,0.001255
326,0.8155425,0.03544375,0.03016125,0.0207725,0.09673125,0.00134875
322,0.80984125,0.0343525,0.03030625,0.02142125,0.10262625,0.0014525
323,0.80461875,0.03294625,0.03028,0.02199875,0.1085925,0.00156375
327,0.79956875,0.03163875,0.03012875,0.0225025,0.1145025,0.00165875
320,0.7946475,0.030345,0.029945,0.02288375,0.12041,0.00176875
330,0.79002375,0.0292825,0.0296025,0.023105,0.12610625,0.00188
321,0.7858025,0.02798875,0.02901,0.023405,0.1318,0.00199375
315,0.78184375,0.02657125,0.028525,0.02360375,0.1373475,0.00210875
317,0.77801125,0.02527125,0.02801375,0.02374,0.1427725,0.00219125
316,0.7745075,0.02399125,0.027295,0.02387125,0.14803875,0.00229625
314,0.771125,0.02276,0.02660375,0.02394625,0.15317625,0.00238875
342,0.76798125,0.021545,0.0259075,0.0239625,0.15812875,0.002475
336,0.76517625,0.0202,0.0252425,0.0237825,0.16304625,0.0025525
334,0.76260125,0.018925,0.02445,0.0236075,0.1677575,0.00265875
333,0.7602225,0.01757625,0.02360375,0.0234225,0.17242875,0.00274625
341,0.7580325,0.0164725,0.0226025,0.02321,0.17686,0.0028225
337,0.7559825,0.01539125,0.0217725,0.0228075,0.18114875,0.0028975
332,0.7541675,0.01432875,0.02077625,0.0224775,0.18529,0.00296
343,0.7524275,0.01346125,0.01990875,0.02210125,0.18905,0.00305125
331,0.75080125,0.01251625,0.01914125,0.0217075,0.192715,0.00311875
340,0.749265,0.01170625,0.018175,0.0213,0.19635375,0.0032
344,0.74788375,0.01092,0.01726625,0.02078375,0.19986125,0.003285
335,0.746575,0.0101925,0.01644375,0.020335,0.20309875,0.003355
338,0.74536,0.009395,0.01564125,0.0198375,0.20635,0.00341625
345,0.74418875,0.00879375,0.01484,0.01934375,0.20933875,0.003495
339,0.74320625,0.0080375,0.01406125,0.01884,0.2123,0.003555
351,0.74227625,0.00734625,0.01327125,0.01834625,0.2151475,0.0036125
355,0.7413675,0.0068175,0.0125225,0.01773875,0.2178975,0.00365625
359,0.74044,0.00646875,0.01180625,0.01714125,0.2204275,0.00371625
361,0.73962,0.00613375,0.01114,0.0165675,0.2227725,0.00376625
362,0.73888625,0.0057125,0.01045125,0.01602375,0.22509875,0.0038275
350,0.7382625,0.00523625,0.0098675,0.0154875,0.2272825,0.00386375
358,0.73769375,0.00477375,0.00929,0.014995,0.22933875,0.00390875
352,0.73715125,0.004405,0.00874375,0.01440375,0.23134125,0.003955
353,0.73666125,0.00405,0.0081875,0.013925,0.23316625,0.00401
360,0.73617625,0.00375375,0.00766125,0.013455,0.234905,0.00404875
349,0.73573875,0.00351375,0.0071925,0.01290625,0.23655875,0.00409
356,0.7353275,0.00321125,0.006795,0.01239875,0.2381475,0.00412
348,0.73494875,0.00299125,0.00635625,0.01189125,0.23966375,0.00414875
346,0.73458,0.00281125,0.00600625,0.01136125,0.2410625,0.00417875
357,0.7342775,0.00260875,0.00564125,0.0108375,0.24243625,0.00419875
347,0.7339575,0.0024575,0.00533875,0.01043375,0.243585,0.0042275
354,0.73367875,0.00225,0.0050075,0.00997375,0.24483375,0.00425625
374,0.73342125,0.00208125,0.004705,0.0095075,0.2460025,0.0042825
369,0.7331825,0.00193375,0.00435875,0.009075,0.24714375,0.00430625
365,0.73299,0.0017775,0.00408625,0.00869,0.248135,0.00432125
373,0.73283125,0.00157625,0.00385,0.0083125,0.24908875,0.00434125
377,0.73269,0.00141875,0.0035825,0.00791875,0.2500225,0.0043675
368,0.73256125,0.00126375,0.00333,0.00755875,0.25090125,0.004385
376,0.73240375,0.00118625,0.0030875,0.0071925,0.25172125,0.00440875
370,0.7322475,0.00109,0.0029025,0.00684875,0.25248125,0.00443
